loss,loss_prime,train_acc,test_acc
80011.48360684069,140305071245.27582,72.565,72.57000000000001
68314.11916249992,26783958411.17669,78.27499999999999,77.88000000000001
67150.89512707017,37282607009.871704,78.78375,78.85
65934.98964302958,27695054802.561863,79.31875000000001,79.28500000000001
63920.81327954843,21548092216.40935,80.2825,79.94
63353.354417074996,21396868209.124744,80.63125,80.235
62123.99636361028,21835875550.759808,81.15375,80.84
62330.19824639392,24058128147.64111,81.2225,80.78999999999999
62111.18103540251,23163495983.87027,81.2825,80.88
62045.39495261211,23183506211.800552,81.28,80.92
61941.419667520306,23250103206.618954,81.265,80.9
61926.976127673035,23288140738.178326,81.29625,80.915
61950.558154087936,23234159721.122578,81.29625,80.945
61958.2331716601,23047409559.553448,81.3,80.965
61963.42076871733,23184301477.775394,81.2975,80.96
61959.22463511682,23146330685.08038,81.29625,80.97
61953.05916791011,23118896749.711548,81.2975,80.975
61945.80500653616,23105256027.553547,81.3,80.96
61945.26255461761,23120335137.078106,81.3,80.955
61931.01096341344,23064094775.447216,81.3075,80.99
61964.17543492274,23186339775.48522,81.3025,80.97999999999999
61959.181913885506,23153373796.98904,81.3075,80.97999999999999
61956.98175232113,23148228958.863544,81.30875,80.97999999999999
61955.8151958106,23147705459.590782,81.30625,80.975
61954.46412447112,23147965059.547367,81.30375,80.97
61954.330893906204,23142795080.661736,81.30375,80.975
